address,chain,type,confidence,evidence
GgZuCWfEp26k8FhokbbCAxWXJzCov89ASm2QBv6MCdzV,solana,scam,high,"Meteora_Kelsier_blacklist"
4ZYvfH7y5PcGnM4C7MZSbXK4SXRZHE3DznZD8mUaL6Tg,solana,scam,high,"Meteora_Kelsier_blacklist"
EMWvxq2aDAFej7u3sWw6pQ1UGcYrWrgTt7g4xu2was2D,solana,scam,high,"Meteora_Kelsier_blacklist"
XK3artTo2B9BH3cVDuz77BZbc3bgUacp5ZmaeUtYExR,solana,scam,high,"Meteora_Kelsier_blacklist"
4hCzXrVRZ5szcZHzNs7pExevupcFBQShAMoAE1UcEvpx,solana,scam,high,"Meteora_Kelsier_blacklist"
5Ge88kFymT1iouUK3hjHRzdnibxZS8N7kK8Yx5DKsg7s,solana,scam,high,"Meteora_Kelsier_blacklist"
H18NXEwfo5kDQiSGUZ3rpypUhUSDXQMrTVQoS6Kupewi,solana,scam,high,"Meteora_Kelsier_blacklist"
8BuEtYVMEKh4gkke8ro5xKCNnckuEZnETvfu6JMTLZJx,solana,scam,high,"Meteora_Kelsier_blacklist"
6FroiZNv9ncMvdJf1RZjAWCaMAZNw899GZ3YPdZoncJS,solana,scam,high,"Meteora_Kelsier_blacklist"
DEYcYWkhxaVcDnPwhwXwvuv91PccFpcDBQrfo7DYaWi4,solana,scam,high,"Meteora_Kelsier_blacklist"
7bZobpCHHhnfdpeBWq5t1PzoLqdD3khNHRQUMUpbrXiW,solana,scam,high,"Meteora_Kelsier_blacklist"
29V2yoy6MFgJMqrLdwdE4bbc3Rhisibr5vRRAC9UW6SP,solana,scam,high,"Meteora_Kelsier_blacklist"
3ZQtua9RppUJckh5mGE8FsTS8XTSBZV9X4YfgKRyVCyT,solana,scam,high,"Meteora_Kelsier_blacklist"
DTtbTmxEvjGwRuGPnyxeufbw4Xz1seEZUD81NzZwS5v6,solana,scam,high,"Meteora_Kelsier_blacklist"
4JwTGsEXZzMyf7XgFN3bJnAi5ztuZMqwfmJUMDDReZfS,solana,scam,high,"Meteora_Kelsier_blacklist"
2d94iPic3Nw1H2mqjcNagYfwEyCo9xpKZzVZg4JcW9Qj,solana,scam,high,"Meteora_Kelsier_blacklist"
3aqwh4xm8ZGSVwBKh6PH63hGZfpjWWZe41TojvWH8bt3,solana,scam,high,"Meteora_Kelsier_blacklist"
4CY5QMdRCwJL8qXKjmpVVgtXzYL5jaB9pEgn5ch9Yywr,solana,scam,high,"Meteora_Kelsier_blacklist"
28V61orywWdZGcnqsz1v7VKehie3VpA8hTUD4H2TQJnX,solana,scam,high,"Meteora_Kelsier_blacklist"
7cJb7N8idcmXgcAkpW8ED1wehCwXaURXRRgQ3cVxcjRk,solana,scam,high,"Meteora_Kelsier_blacklist"
5SKYfpg7tbEZSA955wsqCNtVmHU4oe7CQR7SHGfosaep,solana,scam,high,"Meteora_Kelsier_blacklist"
Hww98eCs8QV1NNGqCz85FbdpLYSozYFzKkdxNTBs6H8o,solana,scam,high,"Meteora_Kelsier_blacklist"
67AqMPvmQnFNRoYZHt2Chus21B8PdEWui9T9tNDgZhbE,solana,scam,high,"Meteora_Kelsier_blacklist"
HBQgXLc99CFegDN2YkPHbQHP5p5xe8nAT4cKTe9ioDR6,solana,scam,high,"Meteora_Kelsier_blacklist"
FQz5CsJGzdbqqRY17BHoMUnKkWFaApnNtVUBHzkSNM2S,solana,scam,high,"Meteora_Kelsier_blacklist"
6AGSZBG6UX1BPq3poFSCxZiQJKAZrHNk5sp5Pwu48BJg,solana,scam,high,"Meteora_Kelsier_blacklist"
