address,chain,type,confidence,evidence
15S794EQqBoyiLrrmczmuczMLRfzZBo5ZoJj8mgpg8V1CYF3,polkadot,phishing,high,"polkadot-js_phishing"
16eqE8MiVAdsxHKxmJzetCjGR7gkQxsDLZYvLPJM3QwirFKd,polkadot,phishing,high,"polkadot-js_phishing"
16QxTE178SmeRS1i2zypAZ4tkrQoQbs1BTPKmzawfkdPdD8j,polkadot,phishing,high,"polkadot-js_phishing"
19GGJiHe2idDzcuKRHn8Tp1UEST8GoUowALBcPcgzY5ir5b,polkadot,phishing,high,"polkadot-js_phishing"
19QW9baMqbNCPvG6Dpky4UHwtiMD16eMG4nLfwSmCQw61XH,polkadot,phishing,high,"polkadot-js_phishing"
1ghPrBFHo133Jtwf2PCZVzUpJCgN11U4frPE5Uo9Q1jBKd5,polkadot,phishing,high,"polkadot-js_phishing"
1TzKarVNZusvukKh4qguZLiBmfiJFpFvcCXzXfM8vjVn76S,polkadot,phishing,high,"polkadot-js_phishing"
1YHDevCkjexa3A6QCyEo2T6rcJFViWWt9Jh7ygEwyLgbYhu,polkadot,phishing,high,"polkadot-js_phishing"
13YS1eHSV6f55GppnPRJZVoKPQ2TpAhUyhey1TPE6tE8yKHJ,polkadot,phishing,high,"polkadot-js_phishing"
13s3zbrb81St5Bh8QtzxTujLzjBCa5uheXznzv7QWrE89p7w,polkadot,phishing,high,"polkadot-js_phishing"
14ZWBoQugxP2i1pjYALrhEihJgKm8S33q63i8unxucooYMiC,polkadot,phishing,high,"polkadot-js_phishing"
14VezybXdNSVoWLKN1HSae56WEV6AXrLY4HKEWjJ4Z7BegJd,polkadot,phishing,high,"polkadot-js_phishing"
1Z5ohZkHN4TjWeKpcA3tqpd4uNSA3r9fzsEG9aviDUWAeo2,polkadot,phishing,high,"polkadot-js_phishing"
13iTPfjzkacRggDUPpN3SUWgbLT9ziasXNKXCbUVdwqiNTCX,polkadot,phishing,high,"polkadot-js_phishing"
15fv8ovgk2kw43EYK7e5Pz2aBnAhDhoYQRcep9i3iwUFmBSf,polkadot,phishing,high,"polkadot-js_phishing"
12dXTqdx5gV8SeBkugtsWrYF57BqiJk8QTGuEauqGAApBtar,polkadot,phishing,high,"polkadot-js_phishing"
12759G1BVPC7cAb5tT8qLzDJUcnBuyW3n3icMwAA8uWGiUtT,polkadot,phishing,high,"polkadot-js_phishing"
1ZkzFrJ3jecDVQ4oLWJ2fEftUUc2aSAyN8kAPLrV2dFJt3K,polkadot,phishing,high,"polkadot-js_phishing"
12RzpdbvArBVkywyCXwpgFzC9uj2XHr4bsbPRwr3wynf3Gs7,polkadot,phishing,high,"polkadot-js_phishing"
12Dw5xe9FwBswd6v6QkbSg9oiNg9uVckSSPActL6Ut9nhqSe,polkadot,phishing,high,"polkadot-js_phishing"
137t4BHwu1HoAPpajzDVmUvJzcRSQWDfxH5znrE6iih3K3b2,polkadot,phishing,high,"polkadot-js_phishing"
13NFtxWVvF7rZmUj5t89B2GowgGewkHBvpJEc6azVKpepjfa,polkadot,phishing,high,"polkadot-js_phishing"
15hwZjAVgAmEfH8LYCQEVVLQ7tHq2b5Ns6K6HwpuoCCEb4Mg,polkadot,phishing,high,"polkadot-js_phishing"
14yHC3SsfvF6mDLG5co7hyX124hJmriUJA6oFHBVaqa8MUF5,polkadot,phishing,high,"polkadot-js_phishing"
12rpYzbZHLmM83UcAuudQWr4cdb6xVCCe2brMQeno5isbSwK,polkadot,phishing,high,"polkadot-js_phishing"
