address,chain,type,confidence,evidence
0xf9a5139E42c3ca13D5b24D23ab2B18C278805Dc4,ethereum,scam,medium,"wanchain.network"
0x8cF893F11f6037B14f0f827B9ed6AEef38931Fb4,ethereum,scam,medium,"enijncoin.io"
0x893676c4A94F6EcdC33a18438BBdCfE9e6c68a9a,ethereum,scam,medium,"smartlands.tech"
0x05Dd62c007CDe143B402fA5Da3937C40c70b4B14,ethereum,scam,medium,"enjincoin.me"
0x0Dcc89F3091d3EF66E00Fb595Ed0FaFEf4434192,ethereum,scam,medium,"etherparty.in"
0x2A7D04018D7295D8069Ec9721eE415c4Bdc57909,ethereum,scam,medium,"wanchains.org"
0x1c2FB401D3Dc4fd8131ccFc4589F281D58921402,ethereum,scam,medium,"warchain.org"
0x88698a2ff09506596a88a1af9d103a420ba46a3e,ethereum,scam,medium,"vvanchain.org"
0x05E3650Bfc907Cc1b3C774F0c053C8B990ce1A4b,ethereum,scam,medium,"soam.co"
0x801D03f4d053242aFbc2949c141BAB4270Ca6707,ethereum,scam,medium,"upfirng.com"
0xB71dF0DbbB9754c1aa9115253F4eBb7EF3f8a57c,ethereum,scam,medium,"enjincoin.pw"
0x8374aa52Bf36EaBcA06E33c4163A081F53e39Aa3,ethereum,scam,medium,"requestnetwork.live"
0x49311A81F5F5dF6C109599Ed5d7413d85b8bcA18,ethereum,scam,medium,"request-network.net"
0x3AA65f17cdE339dF49AFd2F88B3C8495842D5FB0,ethereum,scam,medium,"omegaone.co"
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,ethereum,scam,medium,"myehterwaliet.com"
0xef57aa4b57587600fc209f345fe0a2687bc26985,ethereum,scam,medium,"worldofbattles.io"
0xB7c4A4341c0A03460B6ceC4fa997dD2D748Ce281,ethereum,scam,medium,"stormxtoken.com"
0x3639b8B8edA816B2cb62b65159A183972a3cf863,ethereum,scam,medium,"ralden.network"
0xd3d7c71e4c5b1ff2f42fbb9b4a21f3373aa8b3b0,ethereum,scam,medium,"raidan.network"
0xAF31bf4Fa017768E6426308Cf17E16d633700265,ethereum,scam,medium,"riden.network"
0xd055610c2d5151aDb3eaF994e08aBe45DeE936E0,ethereum,scam,medium,"privatix.live"
0x8dcdb7fc9f541825ba57fb47d5204317fc609590,ethereum,scam,medium,"storrntoken.com"
0xef6805af393c34fe772f8d827a5d26685215612a,ethereum,scam,medium,"stormtokens.net"
0x62404BFB3e1c464f17e3AF0c139e39D0703ae4A1,ethereum,scam,medium,"myetereumwallet.com"
0x9A95f2Ca24d1dCb01048E0623f63F9D174237dEb,ethereum,scam,medium,"stormstoken.com"
0x071cf579507DD0661845694F709E68CF7Ea506a4,ethereum,scam,medium,"privatix.pro"
0x1b42BF30CD988Ad20500cE47ccE52098576Ec2a2,ethereum,scam,medium,"raiden.online"
0xa2896b45f8bD313B777F1027724da1b5F2205A58,ethereum,scam,medium,"stormtoken.cc"
0x1aef1E14108786e0B049f37758529d866cc3c7e6,ethereum,scam,medium,"privatix.top"
0xab215957873deadd9512fbde29e6c12bea1dd1a1,ethereum,scam,medium,"block-v.io"
0xe10C24cA7bf18640FcB35E059919348891922a3b,ethereum,scam,medium,"stormtoken.site"
0xb9AE74bEafE4025cC0fCfB5e190169F2D7F0b563,ethereum,scam,medium,"artoken.co"
0x897757CbA67EADB66d40e45C6748E27D0E67b52a,ethereum,scam,medium,"raidens.network"
0x09faf25e57abd0a401bb5a2341d7f926c389f8d1,ethereum,scam,medium,"ripiocerdit.network"
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,ethereum,scam,medium,"shapishift.io"
0x33f6eE23eE223c4558a95bF4C0e9f5eD21e06319,ethereum,scam,medium,"ico.ripiocredits.com"
0x501577Cd4865D7D50664a1519A79f1c0E7069154,ethereum,scam,medium,"ripiocredit.net"
0x22374A2E9E19bcea56E64F9De3329670CD1a458c,ethereum,scam,medium,"senstoken.com"
0x619f18aEC5f8EeF483fbfe654a269f1186ddA915,ethereum,scam,medium,"riaden.network"
0x85704b506E10b10D714eAd28CdE947bAA58F0EA4,ethereum,scam,medium,"ripiocreditnetwork.co"
0xA35e3534917E471540345733B8f23e7bAd54681b,ethereum,scam,medium,"dentacoin.in"
0xa6B60dd3bE491aAfE5AbA8622b35C0eAd608D3FD,ethereum,scam,medium,"ripiocredlt.network"
0x6D8A1BC0AE09aE5cFd4a7A2a59194598734CEea5,ethereum,scam,medium,"universa.sale"
0xF3Ae45D5A0B8EfB41444101267b56E6795051FaC,ethereum,scam,medium,"dmarkt.io"
0x8A46Aa04725b2E2029bdCb924D671Fd6a9c11daB,ethereum,scam,medium,"utrust.so"
0xda1cC010259496d407a764c381D0E82182D68D89,ethereum,scam,medium,"quantslamp.com"
0x42ff5fff0e369ef6880875efcacb3b7c77974abc,ethereum,scam,medium,"quantsstamps.com"
0xEeD7072FCF46733833249D1E979c44fE4F2a23a2,ethereum,scam,medium,"xn--quanstamp-tmd.com"
0x7c57981AF4cee87567774B53F9da1bFCeb8B944b,ethereum,scam,medium,"quantstamp.com.ua"
0xfbc79A80ffA84253611e8f9A82F18e9E93Ceee81,ethereum,scam,medium,"quantstamp.com.co"
0x943DB403251105195F56cE69c7c48A6320475AB1,ethereum,scam,medium,"ethconnect.live"
0xD754B5Bf41B84Bcb49CB952F858318640aBC60E0,ethereum,scam,medium,"wancha.in"
0x902d0d5bb6a34307bbd1da33e61ae1654b6cbe1e,ethereum,scam,medium,"stormtokens.io"
0xF0Fc2d4d550253d8C165C599E0cCCf221c7eb7b5,ethereum,scam,medium,"storm-token.com"
0x96ae446782c99E952F17626826C83BFDcE53fAE7,ethereum,scam,medium,"storm-token.com"
0x52005B77fbEBf53cfD9527A388f58d0431AaaA3e,ethereum,scam,medium,"stromtoken.com"
0x1E67F055367bcBCe045E1211F09355Eb7411236F,ethereum,scam,medium,"storntoken.com"
0x316b3b83c33B20249B61DEd124F2620d8E823793,ethereum,scam,medium,"stormtoken.co"
0x0ae775637e63Fa95855246Fd82e96802D05883Fc,ethereum,scam,medium,"xn--quanttamp-42b.com"
0x71108Be9C232722Dd6839A6fbaD171cf44d3FfAf,ethereum,scam,medium,"stormltoken.com"
0xA3e52a23060cCDfE186822b52BF60A07451e094e,ethereum,scam,medium,"stormtoken.eu"
0xD50fCd07007255599A9A8CedD881F863bcD65eb1,ethereum,scam,medium,"elite888-ico.com"
0x7F85D875EAF39525004E8Ac2BC1e83786D7Dfd77,ethereum,scam,medium,"quantstamp-ico.com"
0x504f1E10da987490Db4f0D92931497f635E240e8,ethereum,scam,medium,"qauntstamp.com"
0x24C00035b050BeC633287c2bABfBb9f4fE3C8A83,ethereum,scam,medium,"simpletoken.live"
0x6e3E57E536aab05950774945d9cdBf506865c52f,ethereum,scam,medium,"spectre-ai.org"
0x2804e8B4c04c655376D18aDA84d46fC345240E0A,ethereum,scam,medium,"datum.sale"
0xA0D67BF1aE91B6b705abD4f695Cc13edAAcd0D02,ethereum,scam,medium,"xn--zero-zxb.com"
0xe54659243F8542d6ABfd15bbff69f62465786756,ethereum,scam,medium,"t-zero.org"
0x51DcD13361C5D921D2C4818e419011301e7BE34e,ethereum,scam,medium,"t-zero.org"
0x784205ACD9423a2044D09E41642A71E087162861,ethereum,scam,medium,"autcus.org"
0xd912289C9F079b0655737a55FD5D745501ECEfc7,ethereum,scam,medium,"dmarket.pro"
0x1494403137159bb0dc545d11963fDF797ea1eCAb,ethereum,scam,medium,"xn--waxtokn-y8a.com"
0x43AC6AaE3c5dd21855C3aABe3CADB7dFdCf2E5be,ethereum,scam,medium,"spectre.site"
0x738a4dAAE8d4A640172fAC4F45B41707BD2197be,ethereum,scam,medium,"urtust.io"
0xea6e18FD3C301e4300BC99B6Db792fcff376Abb4,ethereum,scam,medium,"blockstack.one"
0xc31fB4c352cb68c847715D46D97C1fa2Aa2d0f00,ethereum,scam,medium,"oracles-network.org"
0x1447b1cB205158D98FdBd312b37ed9dd1481fB62,ethereum,scam,medium,"oracls.network"
0x25CE2252a80c1c4FDf12FD9c608858c23b3094Ef,ethereum,scam,medium,"envoin.org"
0x55456cBd1F11298B80A53c896F4B1dC9Bc16c731,ethereum,scam,medium,"gladius.im"
0x57DCF20135B0Cb9D167e8ebFe13b84bfD67645ed,ethereum,scam,medium,"wabitoken.com"
0xa2A3a8e4a1877da1C913df7591ac0D72f27D4510,ethereum,scam,medium,"tokensale.gizer.in"
0x1cea7999fdafe5d156952ebf1816e8aa67a5485e,ethereum,scam,medium,"ico-wacoin.com"
0xAb1C30cd2d9964b3B845ef744E2E4043739430e5,ethereum,scam,medium,"bitclaive.com"
0x9D0b8447f16d6bC1de2B52d63e9c487bD778a91D,ethereum,scam,medium,"tokensale.gamefllp.com"
0xeB8b629Df028f5353649460F1c06bF394dE8641f,ethereum,scam,medium,"qlink-ico.com"
0xa5797eA738AbF85Db7B3f2e04A4a40A5180044A8,ethereum,scam,medium,"mobus.network"
0xfCDd417b449C982Fc9b6d7B117E417682E81b627,ethereum,scam,medium,"propsprojects.com"
0x72A66Bba491F0C696c4c4e3154D07B241d371944,ethereum,scam,medium,"propsproject.org"
0xeacEB8e777dC8b1c11b8730904D13fBDA070846f,ethereum,scam,medium,"sirin-labs.com"
0x0A78fa6Dab70385dD46fbDD20DA5d868EB43F904,ethereum,scam,medium,"sirin-labs.com"
0xEed48722238b98317D849fA591D96B7efBE9B06F,ethereum,scam,medium,"sirinlabs.co"
0x0D502F90C0a740b9C069ddec1c436D483ED7ab8E,ethereum,scam,medium,"envlon.org"
0xb37722E14FcFc78A56312A9a746C5474822002F2,ethereum,scam,medium,"sirnlabs.com"
0x0387cfC283fFcF25A4a6A61E832545Bbeb7c8fdA,ethereum,scam,medium,"xn--envon-1sa.org"
